,r$_x$,r$_y$,r$_z$
0,60.0,0.0,0
1,59.6713137220964,6.271707796059207,0
2,58.68885604402834,12.47470144906556,0
3,57.06339097770921,18.541019662496844,0
4,54.812727458556054,24.40419858454801,0
5,51.96152422706632,29.999999999999996,0
6,48.54101966249685,35.26711513754839,0
7,44.58868952864366,40.14783638153149,0
8,40.14783638153149,44.58868952864365,0
9,35.26711513754839,48.54101966249685,0
10,30.000000000000007,51.96152422706631,0
11,24.404198584548023,54.812727458556054,0
12,18.541019662496847,57.06339097770921,0
13,12.474701449065567,58.688856044028334,0
14,6.2717077960592205,59.6713137220964,0
15,3.67394039744206e-15,60.0,0
16,-6.2717077960592,59.67131372209641,0
17,-12.474701449065547,58.68885604402834,0
18,-18.54101966249684,57.06339097770922,0
19,-24.404198584548002,54.81272745855606,0
20,-29.999999999999986,51.96152422706632,0
21,-35.26711513754838,48.54101966249685,0
22,-40.14783638153148,44.58868952864367,0
23,-44.58868952864364,40.1478363815315,0
24,-48.54101966249684,35.267115137548394,0
25,-51.961524227066306,30.00000000000002,0
26,-54.81272745855605,24.404198584548027,0
27,-57.06339097770921,18.54101966249685,0
28,-58.688856044028334,12.474701449065584,0
29,-59.6713137220964,6.271707796059224,0
30,-60.0,7.34788079488412e-15,0
31,-59.67131372209641,-6.271707796059183,0
32,-58.68885604402834,-12.474701449065543,0
33,-57.06339097770922,-18.541019662496836,0
34,-54.81272745855607,-24.404198584547988,0
35,-51.96152422706633,-29.999999999999982,0
36,-48.54101966249685,-35.26711513754838,0
37,-44.58868952864368,-40.14783638153148,0
38,-40.147836381531505,-44.58868952864364,0
39,-35.267115137548394,-48.54101966249684,0
40,-30.00000000000003,-51.961524227066306,0
41,-24.404198584548052,-54.81272745855603,0
42,-18.541019662496854,-57.06339097770921,0
43,-12.474701449065588,-58.688856044028334,0
44,-6.271707796059254,-59.6713137220964,0
45,-1.1021821192326178e-14,-60.0,0
46,6.271707796059179,-59.67131372209641,0
47,12.474701449065513,-58.68885604402835,0
48,18.541019662496833,-57.06339097770922,0
49,24.404198584547984,-54.81272745855607,0
50,29.99999999999996,-51.96152422706634,0
51,35.26711513754837,-48.54101966249685,0
52,40.14783638153147,-44.58868952864368,0
53,44.58868952864362,-40.147836381531526,0
54,48.54101966249684,-35.2671151375484,0
55,51.961524227066306,-30.00000000000003,0
56,54.81272745855603,-24.404198584548055,0
57,57.06339097770921,-18.541019662496858,0
58,58.688856044028334,-12.474701449065591,0
59,59.6713137220964,-6.271707796059259,0
